company_name,speaker_count,type,country,hall,stand,tags,fundraising
L'Oreal Groupe,15,partner,France,pavillon7,1D12,Artificial Intelligence & Robotics | DeepTech | Healthcare & Wellness | Luxury & Fashion & Cosmetics | Media & Entertainment & Creators Economy,
PwC,13,partner,United Kingdom,pavillon7,2D36,Consulting & B2B services | Artificial Intelligence & Robotics | Cloud & Infrastructure & Connectivity | Cybersecurity & Defense | Diversity & Inclusion,
Amazon Web Services (AWS),10,partner,United States of America,pavillon7,2F13,Gaming & Sports & Esports | Sovereignty & GovTech | Cloud & Infrastructure & Connectivity | Consulting & B2B services | Artificial Intelligence & Robotics,
"Quantumblack, AI by Mckinsey",9,partner,United States of America,pavillon7,,Artificial Intelligence & Robotics | DeepTech | Diversity & Inclusion | HR & EdTech & Future of Work | Sovereignty & GovTech,
Nvidia,7,partner,United States of America,pavillon7,,Artificial Intelligence & Robotics,
Capgemini Technology Services,6,partner,France,pavillon7,3B36,Artificial Intelligence & Robotics | Sovereignty & GovTech | Cybersecurity & Defense | Retail & E-commerce | Space & Aeronautics,
Essilorluxottica,6,partner,France,pavillon7,1D14,Artificial Intelligence & Robotics | Healthcare & Wellness | Industry & Supply Chain,
OVHcloud,6,partner,France,pavillon7,3D05,Cloud & Infrastructure & Connectivity | Cybersecurity & Defense | Growth & Startup & Investment | Sovereignty & GovTech | Artificial Intelligence & Robotics,
Roland Berger,6,partner,Germany,pavillon7,,Consulting & B2B services | Sovereignty & GovTech,
Adobe,5,partner,United States of America,pavillon7,2F10,Marketing & Advertising | Artificial Intelligence & Robotics | Luxury & Fashion & Cosmetics | Retail & E-commerce | Fintech & Banking & Compliance,
Bpifrance,5,partner,France,pavillon7,2F68,Growth & Startup & Investment | Fintech & Banking & Compliance,
Engie,5,partner,France,pavillon7,2F15,Energy & Greentech | Sovereignty & GovTech | Industry & Supply Chain | Mobility & Smart Cities | Growth & Startup & Investment,
IBM,5,partner,United States of America,pavillon7,2D67,Artificial Intelligence & Robotics | Sovereignty & GovTech | Consulting & B2B services | Cybersecurity & Defense | Cloud & Infrastructure & Connectivity,
Airbus,4,partner,France,pavillon7,3B28,Artificial Intelligence & Robotics | Sovereignty & GovTech | Space & Aeronautics | Cybersecurity & Defense | Cloud & Infrastructure & Connectivity,
BNP Paribas,4,partner,France,pavillon7,2D10,Artificial Intelligence & Robotics | Fintech & Banking & Compliance | Sovereignty & GovTech | Growth & Startup & Investment | Cybersecurity & Defense,
Bloomberg,4,partner,United States of America,pavillon7,3C48,Artificial Intelligence & Robotics | Fintech & Banking & Compliance | Mobility & Smart Cities | Energy & Greentech,
Meta,4,partner,United States of America,pavillon7,1F08,Artificial Intelligence & Robotics | Marketing & Advertising | Media & Entertainment & Creators Economy,
Salesforce,4,partner,France,pavillon7,3D31,Artificial Intelligence & Robotics | Cloud & Infrastructure & Connectivity,
Siemens,4,partner,Germany,pavillon7,3E12,Artificial Intelligence & Robotics | Mobility & Smart Cities | Cybersecurity & Defense | Cloud & Infrastructure & Connectivity,
